date,cellvalue,n_cells,pct_cells
2013-07-15,7,1366,0.13213387502418264
2013-07-15,11,135,0.0130586186883343
2013-07-15,14,73,0.00706132714258077
2013-07-15,15,4,3.869220352099052e-4
2013-07-15,17,3,2.901915264074289e-4
2013-07-15,21,618,0.05977945443993035
2013-07-15,27,1,9.67305088024763e-5
2013-07-15,NA,8020,0.77577868059586
2013-08-15,3,482,0.046624105242793576
2013-08-15,5,2,1.934610176049526e-4
2013-08-15,7,2431,0.2351518668988199
2013-08-15,11,92,0.00889920680982782
2013-08-15,13,5,4.836525440123815e-4
2013-08-15,14,245,0.023698974656606694
2013-08-15,15,3,2.901915264074289e-4
2013-08-15,17,15,0.0014509576320371445
2013-08-15,21,847,0.08193074095569743
2013-08-15,NA,6216,0.6012768427161926
2013-09-15,3,190,0.0183787966724705
2013-09-15,7,969,0.09373186302959953
2013-09-15,11,50,0.004836525440123815
2013-09-15,13,7,6.771135616173341e-4
2013-09-15,14,79,0.007641710195395628
2013-09-15,15,1025,0.0991487715225382
2013-09-15,17,8,7.738440704198104e-4
2013-09-15,21,1472,0.1423873089572451
2013-09-15,NA,6538,0.63242406655059
2013-10-15,3,49,0.004739794931321339
2013-10-15,7,1086,0.10504933255948927
2013-10-15,11,77,0.007448249177790675
2013-10-15,14,79,0.007641710195395628
2013-10-15,15,23,0.002224801702456955
2013-10-15,21,1045,0.10108338169858773
2013-10-15,NA,7979,0.7718127297349584
2013-11-15,3,929,0.08986264267750048
2013-11-15,7,3383,0.3272393112787773
2013-11-15,11,38,0.0036757593344940993
2013-11-15,13,21,0.0020313406848520023
2013-11-15,14,18,0.0017411491584445734
2013-11-15,15,113,0.010930547494679822
2013-11-15,17,3,2.901915264074289e-4
2013-11-15,21,3610,0.3491971367769394
2013-11-15,27,4,3.869220352099052e-4
2013-11-15,NA,2219,0.2146449990326949
2013-12-15,3,1265,0.12236409363513252
2013-12-15,7,1567,0.15157670729348036
2013-12-15,11,1839,0.1778874056877539
2013-12-15,13,7,6.771135616173341e-4
2013-12-15,15,665,0.06432578835364675
2013-12-15,21,4690,0.4536660862836139
2013-12-15,NA,305,0.02950280518475527
2014-01-15,3,148,0.014316115302766493
2014-01-15,11,3425,0.3313019926484813
2014-01-15,15,2910,0.281485780615206
2014-01-15,21,3660,0.3540336622170633
2014-01-15,NA,195,0.01886244921648288
2014-02-15,3,183,0.017701683110853163
2014-02-15,7,2,1.934610176049526e-4
2014-02-15,11,1650,0.1596053395240859
2014-02-15,13,5,4.836525440123815e-4
2014-02-15,15,3631,0.3512284774617914
2014-02-15,17,1,9.67305088024763e-5
2014-02-15,21,3883,0.3756045656800155
2014-02-15,27,3,2.901915264074289e-4
2014-02-15,NA,980,0.094795898626426775
2014-03-15,3,351,0.033952408589669185
2014-03-15,7,3,2.901915264074289e-4
2014-03-15,11,2740,0.2650415941187851
2014-03-15,13,2,1.934610176049526e-4
2014-03-15,15,1664,0.16095956664732056
2014-03-15,21,5179,0.5009673050880248
2014-03-15,27,2,1.934610176049526e-4
2014-03-15,NA,397,0.03840201199458309
2014-04-15,3,47,0.004546333913716386
2014-04-15,7,349,0.03375894757206423
2014-04-15,11,4223,0.4084929386728574
2014-04-15,15,904,0.08744437995743858
2014-04-15,21,4338,0.4196169471851422
2014-04-15,NA,477,0.0461404526987812
2014-05-15,3,536,0.0518475527181273
2014-05-15,7,221,0.021377442445347263
2014-05-15,9,1,9.67305088024763e-5
2014-05-15,11,5672,0.5486554459276456
2014-05-15,13,8,7.738440704198104e-4
