date,cellvalue,n_cells,pct_cells
2020-05-08,3,5432,0.10537342386032977
2020-05-08,5,4,7.759456838021338e-5
2020-05-08,7,2508,0.04865179437439379
2020-05-08,11,11393,0.22100872938894278
2020-05-08,13,35,6.789524733268671e-4
2020-05-08,14,96,0.0018622696411251213
2020-05-08,15,886,0.017187196896217265
2020-05-08,17,27,5.237633365664403e-4
2020-05-08,20,28,5.431619786614937e-4
2020-05-08,21,9260,0.17963142580019398
2020-05-08,23,2,3.879728419010669e-5
2020-05-08,NA,21879,0.42442289039767217
2020-05-16,3,2415,0.04684772065955383
2020-05-16,5,23,4.4616876818622697e-4
2020-05-16,7,1057,0.020504364694471387
2020-05-16,11,7055,0.13685741998060136
2020-05-16,13,11,2.133850630455868e-4
2020-05-16,14,176,0.003414161008729389
2020-05-16,15,569,0.011037827352085354
2020-05-16,17,3,5.819592628516004e-5
2020-05-16,20,42,8.147429679922405e-4
2020-05-16,21,6528,0.12663433559650825
2020-05-16,23,14,0.00027158098933074683
2020-05-16,NA,33657,0.6529000969932105
2020-05-24,3,3501,0.06791464597478176
2020-05-24,5,10,1.9398642095053346e-4
2020-05-24,7,6511,0.12630455868089233
2020-05-24,9,1,1.9398642095053345e-5
2020-05-24,11,13355,0.25906886517943745
2020-05-24,13,68,0.0013191076624636275
2020-05-24,14,348,0.006750727449078565
2020-05-24,15,3074,0.05963142580019399
2020-05-24,17,16,3.103782735208535e-4
2020-05-24,20,13,2.521823472356935e-4
2020-05-24,21,6106,0.11844810863239573
2020-05-24,23,12,2.3278370514064016e-4
2020-05-24,27,3,5.819592628516004e-5
2020-05-24,NA,18532,0.35949563530552864
2020-06-01,3,3114,0.06040737148399612
2020-06-01,5,8,1.5518913676042676e-4
2020-06-01,7,3304,0.06409311348205625
2020-06-01,11,8358,0.16213385063045588
2020-06-01,13,38,7.371483996120271e-4
2020-06-01,14,222,0.004306498545101843
2020-06-01,15,1396,0.02708050436469447
2020-06-01,17,34,6.595538312318137e-4
2020-06-01,20,13,2.521823472356935e-4
2020-06-01,21,3048,0.0591270611057226
2020-06-01,23,2,3.879728419010669e-5
2020-06-01,27,10,1.9398642095053346e-4
2020-06-01,NA,32003,0.6208147429679922
